input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,place_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
,,Beard A Bidou Hairdresser and Barbershop,Barber shop,"13 Rue Michel le Comte, 75003 Paris, France","{""Wednesday"":[""11 AM–8 PM""]}",{},/url?q=https://barbeabidou.fr/%3Futm_source%3Dgooglemybusiness%26utm_medium%3Dlocal%26utm_campaign%3Dfichelemarais&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIFigP&usg=AOvVaw1QFsOaIkONW94gEqJAyzoU,+33145359660,,0,4.9,{},48.8622016,2.3560536,,,,,,Europe/Paris,,0x47e66f79294e1da7:0x767de8259ad1f556,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Grizzly Barber Shop,Barber shop,"82 Bd Beaumarchais, 75011 Paris, France","{""Wednesday"":[""8 AM–7:30 PM""]}",{},/url?q=https://www.grizzly-barbershop.com/&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gINSgP&usg=AOvVaw0n_cmwOz3l_kOq_zfrtVWw,+33148078087,,0,4.7,{},48.8590826,2.3680673999999997,,,,,,Europe/Paris,,0x47e66dfe18f83441:0xe1e4a0f09588f038,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Barber Avenue Paris,Barber shop,"170 Av. d'Italie, 75013 Paris, France","{""Wednesday"":[""11 AM–8 PM""]}",{},/url?q=https://widget.treatwell.fr/salon/barber-avenue-1/&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIVigP&usg=AOvVaw0D3IvDhzNd9uoM_LGLx6ub,+33745100655,,0,4.8,{},48.8210184,2.358654,,,,,,Europe/Paris,,0x47e671205b317a4d:0xcd520c0ba6849034,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Gentleman Barber Shop,Barber shop,"37 Rue Richard Lenoir, 75011 Paris, France","{""Wednesday"":[""10 AM–7 PM""]}",{},/url?q=https://www.planity.com/gentleman-barber-shop-75011-paris&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIdCgP&usg=AOvVaw28now15jWJtcsVzaFBoiQR,+33183060471,,0,4.7,{},48.8561613,2.3812849,,,,,,Europe/Paris,,0x47e66d347cbe4433:0x32503f051dd526e0,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Le Bon Barbier,Barber shop,"17 Rue Saint-Paul, 75004 Paris, France","{""Wednesday"":[""9:30 AM–7 PM""]}",{},/url?q=http://www.lebonbarbier.com/&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIkwEoDw&usg=AOvVaw3sqKCkfmNpGO2sTjoAznSj,+33171249492,,0,4.8,{},48.853329599999995,2.3613827,,,,,,Europe/Paris,,0x47e671113e608e01:0x9d12de84b7ed569f,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,"Barbe à Bidou – République, Paris 3ᵉ – Barbershop | Coiffeur & Barbier Expert Homme/Enfant",Barber shop,"4 Rue du Vertbois, 75003 Paris, France","{""Wednesday"":[""11 AM–8 PM""]}",{},/url?q=https://www.barbeabidou.fr/&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIsQEoDw&usg=AOvVaw0hV4KVlrPyC941EUIqJ4VY,+33155439116,,0,4.9,{},48.8666357,2.3601257,,,,,,Europe/Paris,,0x47e66f6903b0b99f:0xd097add4ca370c68,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,The barber studio,Barber shop,"1 Rue du Cygne, 75001 Paris, France","{""Wednesday"":[""10 AM–8 PM""]}",{},/url?q=https://www.planity.com/the-barber-studio-75001-paris&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIzwEoDw&usg=AOvVaw0bBnrPmYwEGwLL0D84B93b,+33623555649,,0,4.9,{},48.863107,2.3495371,,,,,,Europe/Paris,,0x47e66f3d3d0b3dff:0x134ada92750f4f15,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Ôh-Barbier Paris - Sorbonne / Rue des Écoles,Barber shop,"6 Rue des Écoles, 75005 Paris, France","{""Wednesday"":[""9 AM–9 PM""]}",{},/url?q=https://www.planity.com/o-barbier-paris-75005-wc7&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gI7QEoDw&usg=AOvVaw1C12jvwCUe3an7bIUl6UfF,+33602456922,,0,4.6,{},48.8480887,2.3509175,,,,,,Europe/Paris,,0x47e671ae2a557c43:0x257e917ca5c2babc,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Grizzly,Barber shop,"17 bis Rue La Boétie, 75008 Paris, France","{""Wednesday"":[""9 AM–7:30 PM""]}",{},/url?q=https://www.grizzly-barbershop.com/&opi=79508299&sa=U&ved=0ahUKEwi8i9C_49mUAxUpTmwGHZlwMoAQ61gIqQIoDw&usg=AOvVaw3Efm4mEkv9hFnCrzKod0dq,+33142658920,,0,4.9,{},48.874064,2.3172128,,,,,,Europe/Paris,,0x47e66f3534aa790b:0xf028f8326a74e365,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
,,Chez Monsieur,Barber shop,"41 Bd Auguste Blanqui, 75013 Paris, France","{""Wednesday"":[""9 AM–8 PM""]}",{},,+33981190828,,0,4.9,{},48.8296429,2.3512788,,,,,,Europe/Paris,,0x47e6717319fdb247:0x8465e059c729f5c1,,[],[],[],"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",[],[],[],
